epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,362.934,1.01243,0.50392,0.00526,0.91927,0.93291,0.96553,0.81897,0.71752,0.47947,0.00358,0.000990365,0.000990365,0.000990365
43,371.62,1.08347,0.52908,0.00582,0.95428,0.9282,0.97198,0.83383,0.69109,0.44584,0.00341,0.000973861,0.000973861,0.000973861
44,380.241,1.03336,0.49932,0.00579,0.94709,0.92133,0.97761,0.855,0.67099,0.40661,0.00332,0.000957358,0.000957358,0.000957358
45,389.041,1.02838,0.49547,0.00537,0.93824,0.89929,0.97395,0.84012,0.6416,0.43544,0.00321,0.000940855,0.000940855,0.000940855
46,397.554,1.03798,0.50116,0.00548,0.93645,0.97826,0.97744,0.85354,0.65432,0.36666,0.00328,0.000924352,0.000924352,0.000924352
47,406.069,1.0312,0.4798,0.00543,0.96163,0.95736,0.9793,0.86417,0.63542,0.4465,0.00332,0.000907848,0.000907848,0.000907848
48,414.503,1.0019,0.49486,0.00547,0.96108,0.92511,0.96778,0.85332,0.62193,0.43526,0.00319,0.000891345,0.000891345,0.000891345
49,423.007,1.0134,0.48363,0.00552,0.89105,0.96739,0.97166,0.8601,0.63571,0.4298,0.00337,0.000874842,0.000874842,0.000874842
50,431.405,1.02746,0.47631,0.00513,0.93613,0.88301,0.96866,0.84143,0.61879,0.45559,0.00318,0.000858338,0.000858338,0.000858338
51,439.942,1.00082,0.47019,0.00534,0.92269,0.93316,0.96726,0.84979,0.65055,0.46908,0.00346,0.000841835,0.000841835,0.000841835
52,448.445,0.99242,0.48278,0.00542,0.86146,0.9678,0.9588,0.82412,0.66768,0.49616,0.00354,0.000825332,0.000825332,0.000825332
53,457.076,0.99744,0.47716,0.0054,0.95554,0.87304,0.96977,0.83031,0.71388,0.52889,0.00381,0.000808828,0.000808828,0.000808828
54,465.808,1.00305,0.47599,0.00525,0.93201,0.88467,0.96221,0.84672,0.60595,0.52822,0.00306,0.000792325,0.000792325,0.000792325
55,474.384,0.96242,0.46399,0.00522,0.96239,0.90135,0.96673,0.84352,0.64286,0.47543,0.00346,0.000775822,0.000775822,0.000775822
56,483.162,1.02218,0.46635,0.00538,0.96492,0.88985,0.96823,0.84205,0.63279,0.40539,0.00314,0.000759318,0.000759318,0.000759318
57,491.738,0.95775,0.44648,0.00508,0.93373,0.9569,0.97649,0.85525,0.62757,0.3999,0.00319,0.000742815,0.000742815,0.000742815
58,500.516,0.97347,0.45379,0.0052,0.93654,0.95074,0.96902,0.82294,0.6623,0.42913,0.00339,0.000726312,0.000726312,0.000726312
59,509.177,1.03527,0.4608,0.00548,0.95634,0.94331,0.98053,0.85842,0.67373,0.40004,0.00332,0.000709809,0.000709809,0.000709809
60,517.675,1.03202,0.46806,0.00541,0.92206,0.95436,0.98045,0.85799,0.60375,0.4415,0.00287,0.000693305,0.000693305,0.000693305
61,525.998,0.99236,0.44381,0.00551,0.96223,0.96593,0.98147,0.86287,0.62795,0.39772,0.00315,0.000676802,0.000676802,0.000676802
62,534.385,0.92981,0.44349,0.00475,0.92345,0.97826,0.97783,0.85476,0.63417,0.3619,0.00322,0.000660299,0.000660299,0.000660299
63,542.778,0.93577,0.42914,0.00513,0.94261,0.9471,0.97652,0.86435,0.59335,0.3375,0.0029,0.000643795,0.000643795,0.000643795
64,551.272,0.92551,0.42031,0.00497,0.89802,0.96739,0.97689,0.84808,0.64691,0.38668,0.00328,0.000627292,0.000627292,0.000627292
65,559.693,0.96812,0.4629,0.00516,0.96032,0.94248,0.98308,0.87197,0.61364,0.36735,0.00314,0.000610789,0.000610789,0.000610789
66,568.246,0.95002,0.45126,0.00484,0.92972,0.98344,0.98549,0.86905,0.58564,0.35055,0.00288,0.000594286,0.000594286,0.000594286
67,576.926,0.94073,0.4295,0.00488,0.95495,0.97826,0.98544,0.87038,0.56511,0.37243,0.00276,0.000577782,0.000577782,0.000577782
68,585.557,0.89617,0.40849,0.0048,0.9331,0.97826,0.98481,0.86265,0.62408,0.39332,0.00309,0.000561279,0.000561279,0.000561279
69,594.17,0.91033,0.41419,0.00454,0.93699,0.9695,0.98088,0.86824,0.59152,0.3938,0.00287,0.000544776,0.000544776,0.000544776
70,602.709,0.87656,0.3944,0.00466,0.94742,0.96471,0.98499,0.87444,0.60809,0.36093,0.00307,0.000528272,0.000528272,0.000528272
71,611.406,0.86588,0.39862,0.00448,0.96024,0.97288,0.98195,0.87453,0.57691,0.37717,0.00283,0.000511769,0.000511769,0.000511769
72,619.928,0.9026,0.4093,0.00479,0.96383,0.94656,0.97818,0.8501,0.67252,0.39519,0.00337,0.000495266,0.000495266,0.000495266
73,628.678,0.92588,0.40079,0.00484,0.93134,0.97464,0.97485,0.85866,0.59238,0.41437,0.00282,0.000478762,0.000478762,0.000478762
74,637.04,0.87994,0.42548,0.00484,0.94058,0.96824,0.98013,0.8608,0.67974,0.43803,0.00336,0.000462259,0.000462259,0.000462259
75,645.441,0.84643,0.38381,0.00459,0.96086,0.95018,0.98087,0.87467,0.58861,0.39673,0.00294,0.000445756,0.000445756,0.000445756
76,653.908,0.88676,0.38658,0.00446,0.91742,0.98188,0.97942,0.86337,0.60674,0.39483,0.00296,0.000429253,0.000429253,0.000429253
77,662.371,0.8578,0.41026,0.00468,0.91398,0.98188,0.97797,0.86828,0.58214,0.40718,0.00294,0.000412749,0.000412749,0.000412749
78,670.783,0.86972,0.39934,0.0044,0.94769,0.97391,0.98049,0.87235,0.57816,0.39333,0.00275,0.000396246,0.000396246,0.000396246
79,679.222,0.87947,0.40124,0.00457,0.94826,0.95637,0.98017,0.87179,0.62162,0.42784,0.00303,0.000379743,0.000379743,0.000379743
80,687.612,0.86375,0.39953,0.00475,0.93347,0.9565,0.97777,0.8723,0.60588,0.39659,0.00288,0.000363239,0.000363239,0.000363239
81,696.241,0.84763,0.37843,0.00438,0.97013,0.93659,0.97757,0.87376,0.57357,0.40892,0.0027,0.000346736,0.000346736,0.000346736
82,704.798,0.85224,0.37735,0.00462,0.96368,0.92937,0.97507,0.86431,0.58527,0.4238,0.00275,0.000330233,0.000330233,0.000330233
83,713.413,0.82801,0.37949,0.00437,0.9654,0.95047,0.97904,0.87311,0.58798,0.39519,0.00283,0.000313729,0.000313729,0.000313729
84,722.024,0.82735,0.38691,0.00436,0.96647,0.95018,0.98012,0.87288,0.5827,0.3757,0.00276,0.000297226,0.000297226,0.000297226
85,730.557,0.82681,0.36826,0.00428,0.96104,0.95995,0.97943,0.87175,0.59372,0.38576,0.0029,0.000280723,0.000280723,0.000280723
86,739.251,0.83504,0.38607,0.00413,0.96497,0.94804,0.97793,0.8644,0.59088,0.38787,0.00284,0.00026422,0.00026422,0.00026422
87,747.866,0.8046,0.36786,0.00426,0.96665,0.94656,0.97547,0.86598,0.6115,0.40709,0.00301,0.000247716,0.000247716,0.000247716
88,756.498,0.82696,0.36895,0.0042,0.95816,0.9494,0.97622,0.86803,0.58082,0.39416,0.00279,0.000231213,0.000231213,0.000231213
89,764.786,0.84224,0.38889,0.00438,0.96219,0.9478,0.9772,0.8704,0.56436,0.38244,0.00264,0.00021471,0.00021471,0.00021471
90,773.207,0.81431,0.36314,0.00413,0.96895,0.93432,0.9742,0.87034,0.5857,0.40923,0.00287,0.000198206,0.000198206,0.000198206
91,781.082,0.80217,0.33366,0.0051,0.97272,0.93569,0.97449,0.87401,0.58564,0.40185,0.00275,0.000181703,0.000181703,0.000181703
92,789.04,0.79596,0.31291,0.00507,0.95735,0.95307,0.97803,0.86748,0.58413,0.4024,0.00276,0.0001652,0.0001652,0.0001652
93,796.938,0.78187,0.30591,0.00484,0.96372,0.93608,0.97541,0.86089,0.58466,0.42221,0.00276,0.000148696,0.000148696,0.000148696
94,804.902,0.80897,0.30263,0.00521,0.96249,0.93931,0.97524,0.86079,0.59028,0.42092,0.00282,0.000132193,0.000132193,0.000132193
95,812.861,0.77575,0.2988,0.00487,0.9592,0.93931,0.97799,0.8701,0.58581,0.41019,0.00271,0.00011569,0.00011569,0.00011569
