epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.63244,1.22749,4.0911,0.00708,0.01184,0.94565,0.34786,0.23872,0.79023,4.56487,0.00463,0.00038341,0.00038341,0.00038341
2,10.0859,1.25603,3.00802,0.00678,0.01117,0.85507,0.35604,0.24759,0.70864,4.27813,0.00401,0.000767977,0.000767977,0.000767977
3,14.3589,1.30563,2.75719,0.00716,0.71094,0.38587,0.61798,0.4237,1.10841,3.5061,0.00667,0.0011367,0.0011367,0.0011367
4,18.6519,1.3955,2.35917,0.00794,0.86891,0.49815,0.83962,0.52203,1.26482,2.93339,0.00811,0.00148958,0.00148958,0.00148958
5,22.8179,1.33284,1.9883,0.007,0.83627,0.79514,0.8741,0.6843,0.8848,2.01905,0.00496,0.00153497,0.00153497,0.00153497
6,26.9449,1.32426,1.76521,0.00705,0.74184,0.78686,0.8372,0.65767,0.80987,1.76054,0.00475,0.00150197,0.00150197,0.00150197
7,31.1305,1.31305,1.63838,0.00705,0.83971,0.77386,0.87095,0.71951,0.81227,1.58674,0.00469,0.00146896,0.00146896,0.00146896
8,35.2526,1.30112,1.52023,0.00688,0.78682,0.85757,0.87587,0.7096,0.84127,1.42369,0.00433,0.00143595,0.00143595,0.00143595
9,39.3667,1.26209,1.38658,0.00667,0.79092,0.87028,0.89642,0.70076,0.71192,1.42818,0.00395,0.00140295,0.00140295,0.00140295
10,43.4348,1.25608,1.32782,0.00724,0.77998,0.84799,0.90184,0.74141,0.82312,1.25297,0.00443,0.00136994,0.00136994,0.00136994
11,47.5856,1.24845,1.23042,0.00696,0.84567,0.90217,0.93478,0.75235,0.82295,1.19748,0.00507,0.00133693,0.00133693,0.00133693
12,51.7536,1.26092,1.1533,0.0071,0.85591,0.90671,0.95419,0.74293,0.86467,1.08332,0.00527,0.00130393,0.00130393,0.00130393
13,55.8281,1.23225,1.02337,0.00659,0.88694,0.84078,0.94301,0.79103,0.69626,0.90661,0.00398,0.00127092,0.00127092,0.00127092
14,59.9253,1.2427,1.04292,0.00736,0.86227,0.94293,0.95642,0.79998,0.76366,0.75082,0.00459,0.00123791,0.00123791,0.00123791
15,64.0159,1.2099,0.98333,0.00663,0.89998,0.91034,0.96436,0.81322,0.73344,0.68058,0.00414,0.00120491,0.00120491,0.00120491
16,68.0831,1.1754,0.87124,0.00624,0.87565,0.8807,0.94573,0.80013,0.71195,0.74171,0.00369,0.0011719,0.0011719,0.0011719
17,72.1468,1.15988,0.82407,0.00618,0.83667,0.88026,0.92455,0.78454,0.69767,0.72357,0.00374,0.00113889,0.00113889,0.00113889
18,76.1915,1.18169,0.84224,0.00671,0.85862,0.91529,0.92979,0.77812,0.72894,0.70322,0.00404,0.00110589,0.00110589,0.00110589
19,80.2622,1.12201,0.78482,0.00614,0.92231,0.92718,0.95816,0.78517,0.75694,0.62374,0.00435,0.00107288,0.00107288,0.00107288
20,84.3194,1.18151,0.77261,0.00645,0.84058,0.92139,0.93411,0.77673,0.76552,0.66678,0.00413,0.00103987,0.00103987,0.00103987
21,88.3434,1.09609,0.7161,0.00595,0.88141,0.85313,0.92788,0.75952,0.78712,0.59885,0.0042,0.00100687,0.00100687,0.00100687
22,92.4012,1.16553,0.72108,0.00619,0.88436,0.94656,0.93963,0.77909,0.77787,0.60556,0.00423,0.000973861,0.000973861,0.000973861
23,96.4904,1.1178,0.67628,0.00605,0.90813,0.85356,0.94536,0.81689,0.64777,0.56391,0.00351,0.000940855,0.000940855,0.000940855
24,100.545,1.0783,0.67394,0.00615,0.90127,0.94584,0.96055,0.81967,0.71396,0.62295,0.004,0.000907848,0.000907848,0.000907848
25,104.613,1.09151,0.67256,0.00601,0.91136,0.90399,0.95219,0.8156,0.67133,0.62459,0.00377,0.000874842,0.000874842,0.000874842
26,108.677,1.08369,0.62771,0.00579,0.9014,0.90587,0.95164,0.82737,0.63031,0.52174,0.00343,0.000841835,0.000841835,0.000841835
27,112.791,1.03895,0.6016,0.00557,0.8581,0.88768,0.94102,0.80931,0.68116,0.53441,0.00381,0.000808828,0.000808828,0.000808828
28,116.828,1.0431,0.61416,0.00573,0.89835,0.94636,0.96296,0.8213,0.72343,0.52537,0.00398,0.000775822,0.000775822,0.000775822
29,120.871,1.04792,0.58174,0.00576,0.89551,0.93297,0.95534,0.82713,0.66073,0.52533,0.00342,0.000742815,0.000742815,0.000742815
30,124.956,1.03275,0.57715,0.00557,0.90727,0.92908,0.96233,0.83557,0.64145,0.46518,0.00371,0.000709809,0.000709809,0.000709809
31,129.127,1.04883,0.57553,0.00546,0.88605,0.9538,0.95917,0.82491,0.63171,0.49516,0.00324,0.000676802,0.000676802,0.000676802
32,133.196,1.038,0.5567,0.00559,0.95445,0.8587,0.95502,0.83368,0.62717,0.55283,0.00326,0.000643795,0.000643795,0.000643795
33,137.27,1.05134,0.57059,0.00583,0.92281,0.89909,0.96421,0.83758,0.63491,0.52172,0.00321,0.000610789,0.000610789,0.000610789
34,141.379,1.02498,0.54212,0.00546,0.90139,0.94441,0.96495,0.82465,0.67729,0.56425,0.00349,0.000577782,0.000577782,0.000577782
35,145.506,1.0077,0.54856,0.00542,0.95807,0.88883,0.96339,0.83096,0.6433,0.57639,0.00341,0.000544776,0.000544776,0.000544776
36,149.615,0.98542,0.51704,0.00506,0.89243,0.94505,0.95825,0.83387,0.63453,0.5241,0.00333,0.000511769,0.000511769,0.000511769
37,153.714,0.97655,0.51956,0.00511,0.92489,0.9174,0.96524,0.84045,0.60599,0.51521,0.00311,0.000478762,0.000478762,0.000478762
38,157.834,0.95372,0.51044,0.00486,0.93595,0.94477,0.9716,0.83558,0.62343,0.50148,0.00321,0.000445756,0.000445756,0.000445756
39,161.944,0.9735,0.51722,0.00528,0.96143,0.90761,0.96766,0.84958,0.61027,0.50067,0.00308,0.000412749,0.000412749,0.000412749
40,166.027,0.94394,0.49346,0.00505,0.96205,0.89312,0.96923,0.84932,0.60646,0.49458,0.00304,0.000379743,0.000379743,0.000379743
