epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.66854,1.25288,3.91192,0.00656,0.01175,0.92844,0.28427,0.19575,0.82339,4.55186,0.00443,0.00038341,0.00038341,0.00038341
2,18.6111,1.2537,3.32102,0.00726,0.00853,0.69022,0.19169,0.1366,0.85682,4.40068,0.00504,0.000767977,0.000767977,0.000767977
3,27.3422,1.23305,2.85583,0.00713,0.66536,0.30456,0.50261,0.37259,0.87628,3.65734,0.00552,0.0011367,0.0011367,0.0011367
4,36.0299,1.30399,2.33222,0.00725,0.74521,0.51914,0.73355,0.56159,0.91161,3.1287,0.00527,0.00148958,0.00148958,0.00148958
5,44.519,1.33836,2.20493,0.00762,0.6977,0.7192,0.80953,0.61602,0.97765,2.32658,0.00586,0.00153497,0.00153497,0.00153497
6,53.092,1.32103,1.83934,0.00711,0.8562,0.7663,0.89199,0.58178,1.37165,2.15561,0.00847,0.00150197,0.00150197,0.00150197
7,61.376,1.31702,1.68979,0.00703,0.82492,0.79076,0.88865,0.67265,0.93763,1.81055,0.0054,0.00146896,0.00146896,0.00146896
8,69.8621,1.23927,1.60405,0.00695,0.65673,0.85779,0.83257,0.63686,0.84656,1.62069,0.00471,0.00143595,0.00143595,0.00143595
9,78.1896,1.2566,1.48116,0.00689,0.82032,0.80864,0.91167,0.75335,0.79719,1.43673,0.00449,0.00140295,0.00140295,0.00140295
10,86.7582,1.29449,1.31196,0.00696,0.81316,0.91395,0.93542,0.76813,0.79941,1.22401,0.00451,0.00136994,0.00136994,0.00136994
11,95.3127,1.19961,1.23309,0.00668,0.8519,0.85653,0.93708,0.78874,0.71086,1.02015,0.00384,0.00133693,0.00133693,0.00133693
12,103.999,1.19986,1.1167,0.0065,0.93022,0.86842,0.96786,0.73326,0.97764,1.00015,0.00562,0.00130393,0.00130393,0.00130393
13,112.736,1.26093,1.0924,0.00687,0.92382,0.8559,0.9498,0.76654,0.80024,0.95583,0.00474,0.00127092,0.00127092,0.00127092
14,121.295,1.21095,1.05854,0.00701,0.89814,0.9212,0.96111,0.76008,0.8436,0.79107,0.00476,0.00123791,0.00123791,0.00123791
15,130.04,1.177,0.9564,0.00631,0.87142,0.90062,0.95198,0.78021,0.77621,0.80638,0.00408,0.00120491,0.00120491,0.00120491
16,138.785,1.22831,0.92778,0.00692,0.91642,0.9334,0.96918,0.81146,0.68832,0.64305,0.00377,0.0011719,0.0011719,0.0011719
17,147.46,1.17465,0.88513,0.00652,0.95918,0.92735,0.96913,0.79153,0.74046,0.62895,0.00426,0.00113889,0.00113889,0.00113889
18,156.061,1.20039,0.8595,0.00637,0.87575,0.9428,0.95934,0.80353,0.80497,0.62657,0.00446,0.00110589,0.00110589,0.00110589
19,164.633,1.13501,0.8168,0.00607,0.93928,0.91343,0.96577,0.8005,0.75268,0.59111,0.00404,0.00107288,0.00107288,0.00107288
20,172.94,1.12607,0.78273,0.00621,0.93295,0.92393,0.97101,0.83669,0.66656,0.54379,0.00363,0.00103987,0.00103987,0.00103987
21,181.272,1.14812,0.7594,0.0063,0.9457,0.92656,0.96781,0.81221,0.75939,0.46848,0.00375,0.00100687,0.00100687,0.00100687
22,189.644,1.15449,0.75026,0.00634,0.90948,0.96769,0.97275,0.81512,0.71196,0.43457,0.00375,0.000973861,0.000973861,0.000973861
23,198.011,1.17954,0.72022,0.00632,0.90583,0.90401,0.9694,0.83102,0.67476,0.43533,0.00358,0.000940855,0.000940855,0.000940855
24,206.527,1.12784,0.68542,0.00623,0.93621,0.91848,0.96826,0.80835,0.79576,0.44673,0.00421,0.000907848,0.000907848,0.000907848
25,215.186,1.10876,0.65931,0.00627,0.87995,0.95621,0.97433,0.82886,0.71989,0.40789,0.00409,0.000874842,0.000874842,0.000874842
26,223.762,1.0784,0.64201,0.00574,0.94604,0.89121,0.96672,0.83322,0.65762,0.41503,0.00344,0.000841835,0.000841835,0.000841835
27,232.558,1.07944,0.64559,0.0055,0.94455,0.89089,0.96534,0.84428,0.61411,0.3814,0.0033,0.000808828,0.000808828,0.000808828
28,241.24,1.10894,0.63638,0.00613,0.9521,0.91604,0.97339,0.84824,0.65727,0.38029,0.00352,0.000775822,0.000775822,0.000775822
29,249.949,1.04858,0.59896,0.00568,0.90621,0.91334,0.96021,0.81318,0.71427,0.38452,0.00375,0.000742815,0.000742815,0.000742815
30,258.782,1.12255,0.62297,0.00587,0.9125,0.95767,0.9749,0.84373,0.71312,0.34803,0.00363,0.000709809,0.000709809,0.000709809
31,267.506,1.06249,0.59417,0.00559,0.92963,0.92572,0.97114,0.8347,0.6683,0.39794,0.00338,0.000676802,0.000676802,0.000676802
32,276.129,1.03396,0.58419,0.00548,0.93515,0.90556,0.97137,0.84341,0.6418,0.35832,0.00313,0.000643795,0.000643795,0.000643795
33,284.439,1.04782,0.56514,0.00583,0.89522,0.97069,0.97314,0.85653,0.61821,0.34986,0.003,0.000610789,0.000610789,0.000610789
34,292.927,1.05353,0.55235,0.00562,0.94018,0.96075,0.98355,0.8683,0.59368,0.34159,0.00283,0.000577782,0.000577782,0.000577782
35,301.336,1.01522,0.54256,0.0055,0.92413,0.93569,0.98475,0.86414,0.64776,0.35607,0.00326,0.000544776,0.000544776,0.000544776
36,309.675,1.04003,0.54998,0.00562,0.92699,0.97291,0.98775,0.85759,0.64402,0.34,0.00321,0.000511769,0.000511769,0.000511769
37,318.028,1.01121,0.52263,0.00518,0.9497,0.94029,0.98734,0.87567,0.62679,0.35203,0.00317,0.000478762,0.000478762,0.000478762
38,326.654,0.95824,0.52471,0.00534,0.92505,0.97208,0.98103,0.85759,0.61471,0.3476,0.00294,0.000445756,0.000445756,0.000445756
39,335.208,0.97588,0.51751,0.00531,0.93956,0.96105,0.97853,0.86095,0.61279,0.33142,0.00299,0.000412749,0.000412749,0.000412749
40,343.813,0.96518,0.49357,0.00516,0.94026,0.96105,0.98396,0.86098,0.60694,0.32256,0.00287,0.000379743,0.000379743,0.000379743
41,351.924,0.96414,0.48114,0.00627,0.96759,0.95812,0.98372,0.86074,0.59184,0.35483,0.00285,0.000346736,0.000346736,0.000346736
42,360.002,0.95726,0.4478,0.00612,0.96394,0.95743,0.98283,0.86131,0.58264,0.37042,0.0028,0.000313729,0.000313729,0.000313729
43,368.004,0.95827,0.44876,0.00608,0.91724,0.9469,0.9822,0.85258,0.63046,0.37898,0.00317,0.000280723,0.000280723,0.000280723
44,376.121,0.925,0.43233,0.00566,0.90592,0.96409,0.9792,0.86096,0.5843,0.36895,0.00278,0.000247716,0.000247716,0.000247716
