epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5474.04,0.79274,0.40216,0.01553,0.98806,0.97535,0.99189,0.86757,0.58166,0.20751,0.01653,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5644.64,0.78677,0.40898,0.01545,0.98204,0.9624,0.99138,0.86313,0.57636,0.22522,0.01625,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5815.83,0.78401,0.39933,0.01544,0.98351,0.96787,0.98847,0.86885,0.57736,0.20803,0.01634,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5987.9,0.77739,0.3987,0.01544,0.99006,0.97051,0.99163,0.87174,0.56469,0.19824,0.01592,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6159.62,0.77473,0.38675,0.01523,0.97843,0.97535,0.99064,0.86793,0.57837,0.20651,0.01643,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6331.42,0.76411,0.38635,0.01499,0.98573,0.97288,0.99244,0.87974,0.54444,0.19306,0.01532,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6502.78,0.76431,0.39224,0.01486,0.98528,0.97139,0.989,0.87552,0.54058,0.19501,0.0152,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6675.54,0.76509,0.3948,0.01493,0.98045,0.97119,0.99187,0.87673,0.54136,0.20301,0.01523,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6846.58,0.7551,0.37628,0.01479,0.98238,0.96303,0.9892,0.87036,0.56248,0.20462,0.0159,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7018.74,0.74832,0.38589,0.01468,0.98616,0.97231,0.99239,0.87729,0.54509,0.19579,0.01541,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7190.09,0.73991,0.37597,0.01447,0.97626,0.97799,0.99268,0.88491,0.53893,0.19615,0.01518,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7362.01,0.74366,0.36696,0.01459,0.97787,0.97263,0.99254,0.87453,0.55213,0.19953,0.01564,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7533.1,0.73662,0.37045,0.01441,0.98012,0.97579,0.99278,0.88412,0.52268,0.19203,0.01466,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7703.31,0.72615,0.37308,0.01407,0.98228,0.97593,0.9914,0.89232,0.51401,0.18574,0.01432,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7874.06,0.72454,0.35404,0.01416,0.98103,0.98019,0.99129,0.89305,0.51057,0.18254,0.01421,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8043.68,0.71702,0.35521,0.01388,0.9861,0.97535,0.99305,0.89346,0.51354,0.18108,0.01438,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8214.32,0.7172,0.35103,0.01392,0.98239,0.97711,0.99213,0.89382,0.50858,0.1827,0.0142,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8384.28,0.71125,0.35054,0.01383,0.98798,0.97678,0.99174,0.89266,0.50848,0.1814,0.01419,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8554.61,0.70912,0.3471,0.01373,0.98464,0.97667,0.99301,0.89741,0.49404,0.17746,0.01378,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8725.13,0.69636,0.34414,0.01358,0.98018,0.97941,0.99258,0.8933,0.49498,0.18339,0.01375,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8894.82,0.68621,0.34759,0.01335,0.98667,0.97758,0.99219,0.8957,0.48973,0.17914,0.01359,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9065.48,0.68312,0.33845,0.01327,0.98708,0.97493,0.9918,0.8973,0.4954,0.18481,0.0138,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9235.59,0.68334,0.3366,0.01322,0.98361,0.97707,0.99145,0.8932,0.48637,0.18328,0.01346,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9405.31,0.67743,0.34561,0.01316,0.98798,0.97673,0.99243,0.89918,0.48614,0.17383,0.01344,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9575.48,0.67389,0.33005,0.0131,0.98667,0.97711,0.99241,0.89921,0.48938,0.17525,0.01354,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9746.11,0.66897,0.32992,0.01291,0.98844,0.97931,0.99287,0.90586,0.476,0.17195,0.01319,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
